step,x,y,z,J1,J2,J3,J4,J5,J6,J7
0,0.4001975630329228,-3.3305170848025364e-05,0.7035991809237407,-0.010613163696336306,0.005673966657958406,2.5444437451708134e-14,-90.0039535994786,-0.001102364590882448,89.99991273554475,0.0
1,0.4002264407015482,-0.00010890067588376941,0.7035319275810278,-0.02122618384800595,0.011348514709251922,0.0,-90.00790756340558,-0.002204454692745999,89.99982541132282,0.0
2,0.4006874962329262,9.589310372034969e-05,0.7031320802914447,0.013447315121715117,0.07449764038795925,-0.008320337645316303,-90.00191707298679,0.01317336071200019,89.94386943552762,0.01808100737676844
3,0.40206763716055544,0.0007134690605325473,0.7019295092688689,0.11747163309436354,0.26394506606857865,-0.03328135058121432,-89.98394563647143,0.05930817877137885,89.77599728071178,0.07232540697502741
4,0.40435772542849646,0.0017533606741233186,0.6999151509146211,0.2908479915009998,0.5796909049450666,-0.07488303880782127,-89.95399335178104,0.1362009592108697,89.49620471965666,0.16273457626262883
5,0.4075423320118012,0.0032312891168367816,0.6970739797750384,0.5335739383548732,1.0217353293203597,-0.1331254023250354,-89.91206036559107,0.24385154466896758,89.1044918121189,0.28930851523962353
6,0.41159944481723976,0.005168909353418816,0.6933851330377085,0.8456530457633069,1.590078593888392,-0.20800844113285666,-89.85814684064803,0.38225982458445207,88.60085862506048,0.45204722390606245
7,0.4165000657646315,0.007593449526043983,0.6888220923675686,1.2270825681277897,2.28472097891613,-0.299532155231336,-89.79225288282616,0.5514258443008627,87.98530521525817,0.6509507022618947
8,0.42220770349731335,0.010537236469967171,0.6833529298521255,1.677860363117194,3.1056626429737406,-0.4076965446204225,-89.71437842233489,0.7513499037600782,87.25783162308402,0.8860189503071456
9,0.4286777693927819,0.014037092803985587,0.6769406233666436,2.197992548234999,4.05290337064363,-0.532501609300167,-89.62452307554373,0.9820325741192634,86.41843788528722,1.1572519680418154
10,0.4358568901848238,0.018133581328127556,0.6695434412628317,2.7874803978653957,5.1264422846367586,-0.6739473492704933,-89.52268605882368,1.2434745533738396,85.46712407018376,1.464649755465904
11,0.4436821613503795,0.022870067237357038,0.6611153901260868,3.4463302389207553,6.326277704864885,-0.8320337645315284,-89.40886623874626,1.5356763779423943,84.4038903358425,1.8082123125794365
12,0.4520803771042213,0.028291576422448513,0.6516067203936386,4.174554359148883,7.652407302330178,-1.00676085508312,-89.28306234479955,1.8586381495899291,83.22873697271906,2.187939639382388
13,0.46096727628088746,0.034443448301781254,0.6409644972488476,4.972156200981945,9.104828531347282,-1.1981286209253694,-89.1452732517919,2.212359466614144,81.94166439680718,2.603831735874784
14,0.47024683596879335,0.041369796446349236,0.6291332597735496,5.83914300333069,10.683539129779655,-1.4061370620582514,-88.99549817056818,2.596839622749259,80.54267309793069,3.055888602056598
15,0.47981063735630725,0.049111784281794614,0.616055795149708,6.7755190338934685,12.388537403420063,-1.630786178481766,-88.83373665282059,3.0120779367243546,79.0317635642083,3.544110237927882
16,0.48953733295823026,0.05770570548202416,0.6016740441313588,7.781286018559728,14.219822199698163,-1.8720759701959135,-88.65998844271442,3.458074018776678,77.40893622578115,4.068496643488585
17,0.4992922597935512,0.06718084872328418,0.5859301408859688,8.856438309407382,16.17739266027041,-2.130006437200668,-88.47425328363474,3.93482787515607,75.67419143287708,4.629047818738732
18,0.508802712440356,0.077415579885255,0.5690014069200605,9.985563973443545,18.23318261661945,-2.4008796516536894,-88.27919372682753,4.435505198541435,73.85239853874292,5.217727760399685
19,0.5175714460437162,0.08793748301174086,0.5516272269181758,11.118569278069291,20.29597951800016,-2.6726773480673467,-88.08346413013453,4.93789333189756,72.02438396329475,5.808418845607813
20,0.5255482093658604,0.09867010781659577,0.5338845221946631,12.251591956551803,22.358767287684092,-2.9444750444809533,-87.8877301896921,5.4402825120085305,70.19637094649674,6.399110083867921
21,0.5327188614931628,0.10957071477025256,0.5157936678862549,13.38463525578068,24.421545978474732,-3.2162727408945853,-87.69199176482992,5.942673122343238,68.36835978551748,6.989801322128028
22,0.5390716597652819,0.1205959411882025,0.49737556415596573,14.517686404838326,26.484315466054433,-3.4880704373082936,-87.49624865668193,6.445065579449593,66.54035031387733,7.580492560388161
